interval,timestamp,mg2.x,mg2.y,mg2.z
0.0,77130870.0,159296.8014063578,100991.47882712242,320629.3135579317
0.0,77130870.05,159403.4430236774,101006.04484435568,320457.5215061689
0.0,77130870.1,159437.63989475672,100965.55155799058,320495.12457185227
0.0,77130870.14999999,157883.51178345302,101624.34102665176,319868.06072101585
0.0,77130870.19999999,158972.70801522434,101215.47778439545,320626.22137840476
0.0,77130870.24999999,157617.21186344838,101379.16289499623,319412.8331970627
0.0,77130870.29999998,158821.3243058724,100945.01141221239,320255.72088332707
0.0,77130870.34999998,158216.14164189907,101569.76510932895,319830.70830700174
0.0,77130870.39999998,157776.7155862241,101739.41679433765,319586.2868058305
0.0,77130870.44999997,159870.1590139739,100659.57305226932,321634.00826262776
0.0,77130870.49999997,157235.04257121618,101625.0763572136,319933.4006411951
0.0,77130870.54999997,160926.57539026096,100403.82460611276,321937.2392907394
0.0,77130870.59999996,157716.9637350268,101573.52658072193,319842.00386641227
0.0,77130870.64999996,159906.03776918497,100979.21679929213,320907.2491895812
0.0,77130870.69999996,160858.44054331305,100654.26896354128,321510.778174552
0.0,77130870.74999996,156160.65326932952,102362.551765026,318938.75206476136
0.0,77130870.79999995,164876.57435534388,99259.84778244935,324593.85647591803
0.0,77130870.84999995,152092.0134969906,103608.96914762564,315991.5608623766
0.0,77130870.89999995,168902.74076277035,97616.34358983373,326918.022066731
0.0,77130870.94999994,148603.79765192475,104917.48289236391,314069.5534227395
1.0,77130871.0,148253.05437440204,105495.58764610588,331452.20544070634
1.0,77130871.05,168013.11478798033,97908.23488205625,308582.1106801723
1.0,77130871.1,151810.36535243978,103548.50646315503,329355.61515703215
1.0,77130871.14999999,164441.40923319024,98704.62436119746,313301.8654630186
1.0,77130871.19999999,156371.79564588168,102109.06495819158,324729.22130813776
1.0,77130871.24999999,159718.14731138095,100818.45799106799,318388.8989652849
1.0,77130871.29999998,159767.5482942608,100808.25103504464,320543.5498387968
1.0,77130871.34999998,157628.25740828243,101628.93400071483,322226.9484658981
1.0,77130871.39999998,160642.22742838383,100799.52963520304,318472.01910356287
1.0,77130871.44999997,159027.05090676458,101448.96675517177,323549.7321239237
1.0,77130871.49999997,159679.70699944414,100731.30121483412,317872.06750329107
1.0,77130871.54999997,160995.39604716978,100279.1617359556,322451.05120924034
1.0,77130871.59999996,157425.44076689755,101518.26476238029,319267.2233794861
1.0,77130871.64999996,159507.10274298006,100736.01978675502,320360.87870757614
1.0,77130871.69999996,159171.80490737336,100707.10413065608,322020.0572419661
1.0,77130871.74999996,156134.84790617973,101735.13529401767,317523.58519302076
1.0,77130871.79999995,163460.4687758622,99642.19858325849,324932.20684954786
1.0,77130871.84999995,151416.608263198,103909.26087047326,314862.42850024725
1.0,77130871.89999995,168699.84695547773,97505.40528737419,327251.5765860438
1.0,77130871.94999994,149595.67075917177,104329.7824945322,313977.4971685194
2.0,77130872.0,148765.39015226584,105667.63880296674,331974.7020655476
2.0,77130872.05,168600.15120385092,97865.90150073153,309018.5162321402
2.0,77130872.1,152656.12034103408,103516.21532069673,329567.28330866015
2.0,77130872.14999999,165203.13259462552,98514.16028943795,313397.67791748815
2.0,77130872.19999999,157014.8537045354,101826.07394228084,324503.48696519865
2.0,77130872.24999999,160756.82700905588,100270.59899585065,318087.12782577594
2.0,77130872.29999998,160635.8762234518,100399.71711474181,320394.48904328875
2.0,77130872.34999998,157288.74601459812,102166.27210766802,321456.2984099097
2.0,77130872.39999998,159724.5716722405,101195.3764030344,317374.657525882
2.0,77130872.44999997,157848.52444017708,101267.17238352064,322989.065020612
2.0,77130872.49999997,157802.29468416027,101157.95026301946,317674.9237045151
2.0,77130872.54999997,160037.00092435325,100673.34924334752,322399.65335597843
2.0,77130872.59999996,157523.86890346513,101521.69163220239,319125.63668256975
2.0,77130872.64999996,158937.48338847831,101063.73219157253,320029.1185282773
2.0,77130872.69999996,158983.10338317056,101101.64653279207,321830.8346944109
2.0,77130872.74999996,156440.3191884522,101942.6934687342,317305.51456389093
2.0,77130872.79999995,164051.44755200707,99341.63813939132,324855.11357801507
2.0,77130872.84999995,152295.3769145056,103721.41358192204,314809.31718796236
2.0,77130872.89999995,168732.0013076218,97968.97235119325,327021.29573097685
2.0,77130872.94999994,149456.56490331376,104711.22368827826,314330.82591849833
3.0,77130873.0,149210.01844590087,105064.90582392074,332338.9034114587
3.0,77130873.05,169082.24444731715,97087.92374610706,309244.2722808692
3.0,77130873.1,152262.1421403758,103499.99260144978,329190.92870366876
3.0,77130873.14999999,164368.73757647205,98952.40318620007,312954.22122986394
3.0,77130873.19999999,156534.62499873224,102000.00598542558,324142.4301337514
3.0,77130873.24999999,159339.9586671809,101153.30167475372,317800.3032836049
3.0,77130873.29999998,159128.7287121415,101309.07942300137,319915.879151486
3.0,77130873.34999998,156800.4850244863,101937.46272248245,321276.54192886787
3.0,77130873.39999998,159302.2758327039,100899.61730716328,317327.53446390433
3.0,77130873.44999997,158046.61056343818,101404.19510819732,322569.895504311
3.0,77130873.49999997,158390.4361244755,100871.06664028199,317010.3265252375
3.0,77130873.54999997,160224.26910843706,100268.99567025102,321725.5757268662
3.0,77130873.59999996,157988.2876494141,101461.34140002125,319159.6325111728
3.0,77130873.64999996,160538.789156474,100566.45369387898,320348.75268495677
3.0,77130873.69999996,161271.7051636074,100281.5906284982,322065.8163138551
3.0,77130873.74999996,158456.60501275136,101270.98040064619,317673.36123585975
3.0,77130873.79999995,166078.5924988709,98626.98115226718,325127.263686956
3.0,77130873.84999995,153952.6766130019,102937.87793936473,315240.10544416617
3.0,77130873.89999995,169770.4647950124,96942.5507475887,326512.5081564732
3.0,77130873.94999994,150383.23457692962,103865.90865320899,313523.44093202543
4.0,77130874.0,149615.7595783933,104485.63369830184,331246.19695635844
4.0,77130874.05,169257.72450311077,96908.70446728982,308252.5825503746
4.0,77130874.1,151494.66668389487,103743.10212120542,328540.18508281955
4.0,77130874.14999999,164030.86457552895,98871.45778582948,312446.2379440239
4.0,77130874.19999999,156341.46395616865,102000.71977075833,323767.13291307766
4.0,77130874.24999999,159711.3158906945,100612.02797784726,317572.82543011825
4.0,77130874.29999998,160274.4106010471,100544.50635415454,320106.435837439
4.0,77130874.34999998,158377.93710844393,101148.53572513041,322160.20636432053
4.0,77130874.39999998,161607.64474753136,99352.10474640747,319041.6923068052
4.0,77130874.44999997,160455.72651178105,99671.16301178196,324625.2037143001
4.0,77130874.49999997,161283.17496642104,99130.12271549599,319712.0433709286
4.0,77130874.54999997,163126.43477654003,98326.87390690378,324758.7148634231
4.0,77130874.59999996,159962.72643408587,99446.94694848792,321400.6534537799
4.0,77130874.64999996,162308.2017650521,98359.58578616778,322372.96802534943
4.0,77130874.69999996,162192.6439471819,98470.62502187351,324008.06111516355
4.0,77130874.74999996,158763.57586768732,99698.76093302625,319688.1848002955
4.0,77130874.79999995,166452.80032451858,96839.62335106799,327229.7403674035
4.0,77130874.84999995,153911.16468149005,101873.54149719991,316651.7663497089
4.0,77130874.89999995,170682.21439404594,95589.17904452728,328943.3029289882
4.0,77130874.94999994,151495.09395844646,102208.12984607027,315489.80821428326
5.0,77130875.0,151354.69936256538,102511.00673534683,333558.7944834424
5.0,77130875.05,171578.9198749801,94795.00329198991,311200.53579417535
5.0,77130875.1,154654.85863822137,101546.87243591051,331238.35000860295
5.0,77130875.14999999,168464.73052725563,95818.61096620647,315314.3346885055
5.0,77130875.19999999,160714.15976258798,98878.26605517475,326625.38180835854
5.0,77130875.24999999,163001.41015954234,97804.52738072714,320219.9453370546
5.0,77130875.29999998,162974.19009150614,97731.94103856281,322442.8571700016
5.0,77130875.34999998,160582.29552479694,98664.68525178556,323687.9470624083
5.0,77130875.39999998,163043.73224969953,97548.55240078564,319556.64392850496
5.0,77130875.44999997,161246.21121527496,98339.80033521945,324296.90341478586
5.0,77130875.49999997,161071.4454914744,98280.86315207128,318964.2543454588
5.0,77130875.54999997,162865.99581894756,97174.11753877913,324289.8728604015
5.0,77130875.59999996,160111.9607990638,98220.79314199847,321042.97771447763
5.0,77130875.64999996,161145.60400703584,97888.58459028779,321757.82203022065
5.0,77130875.69999996,160950.83651242056,98081.04389303082,323598.62788337533
5.0,77130875.74999996,158774.18596569455,99197.33433121425,319440.78182094183
5.0,77130875.79999995,166477.35907450193,95985.44899807853,327029.8300315481
5.0,77130875.84999995,154202.67323720755,100501.23862176138,316889.1797055408
5.0,77130875.89999995,171135.72362603483,94156.89104428151,328942.4430601946
5.0,77130875.94999994,151628.89158636227,101485.20877971197,315698.198298122
6.0,77130876.0,151299.54697144395,102101.27029922589,333832.9059555754
6.0,77130876.05,171264.43039166706,94122.64998664708,311193.5831466791
6.0,77130876.1,154461.93475365822,100900.42226840669,331000.83370629954
6.0,77130876.14999999,166985.7119435431,95839.83042630457,315000.37370005297
6.0,77130876.19999999,158729.16900064226,99174.24780176426,326364.5051325597
6.0,77130876.24999999,161752.9076720124,97869.11750325543,319935.6275167103
6.0,77130876.29999998,161430.46464776486,98091.68438498469,321861.374981107
6.0,77130876.34999998,159027.04739354507,98980.75333940634,323451.2489235002
6.0,77130876.39999998,161403.91776771695,98015.58884037231,319619.8106800445
6.0,77130876.44999997,159840.9610341851,98653.1773069056,324721.67262273445
6.0,77130876.49999997,159963.3470638439,98041.3009674577,319440.3210069191
6.0,77130876.54999997,161643.37531480144,97459.54280011242,324157.39846981276
6.0,77130876.59999996,159285.2126133036,98525.96991130993,321022.2734341431
6.0,77130876.64999996,161772.5095840881,97593.2500315157,322277.36695007025
6.0,77130876.69999996,162716.03626987143,97335.69115106546,324150.523180183
6.0,77130876.74999996,159753.8535811119,98395.24519037531,319720.88486392424
6.0,77130876.79999995,167290.12745659106,96090.56907226579,327250.9468149557
6.0,77130876.84999995,154808.60486891013,100691.31919130203,317115.86355515034
6.0,77130876.89999995,171013.01728542804,94034.4170183922,329498.36363470135
6.0,77130876.94999994,151596.57571461482,101505.41601486377,315680.0111503791
7.0,77130877.0,151305.6560114863,101914.88442500468,333639.87008553575
7.0,77130877.05,170503.94350826085,93900.68246713976,310712.1404689844
7.0,77130877.1,153170.0706909853,100859.81730357494,330610.02358364966
7.0,77130877.14999999,165885.376574477,96028.14288911702,314558.90032644337
7.0,77130877.19999999,157975.94437625376,99261.24524183561,325908.9347548671
7.0,77130877.24999999,161253.1843525772,97959.2939507791,319792.2997568637
7.0,77130877.29999998,161403.68858335837,97981.36935773536,322230.8811900692
7.0,77130877.34999998,159452.98713233054,98656.23279658587,323913.7004814168
7.0,77130877.39999998,162332.44993345102,97537.49194311158,320050.5506092267
7.0,77130877.44999997,160685.85940874938,98558.15690035268,325138.7454853022
7.0,77130877.49999997,160952.99391190053,98409.24991241092,319959.83885547775
7.0,77130877.54999997,162710.28166235788,97447.94113507867,324990.71173232887
7.0,77130877.59999996,160219.6795579766,98362.34720232784,321688.6662598281
7.0,77130877.64999996,162212.61575221585,97619.97508413177,322550.30228660855
7.0,77130877.69999996,162009.3475628632,97687.51973596722,324179.1901784871
7.0,77130877.74999996,159112.4438063457,98791.64251197895,319650.36743284407
7.0,77130877.79999995,166395.19640450354,96016.85694106034,326988.5193034882
7.0,77130877.84999995,153584.1245386057,101148.1009683939,316407.666941493
7.0,77130877.89999995,169766.42084901742,94986.8644577916,328462.1881604255
7.0,77130877.94999994,150410.13041284372,101881.19957289557,315249.3231353861
8.0,77130878.0,150134.7170152641,102250.5237961729,333285.24127396074
8.0,77130878.05,170106.58198736963,94408.37632319781,310955.59094445116
8.0,77130878.1,153428.8673076036,101218.67893050707,331041.6767536789
8.0,77130878.14999999,166662.10656178166,95892.78698834099,314844.8326224329
8.0,77130878.19999999,159388.11371129763,98688.08215408603,326610.8650237706
8.0,77130878.24999999,162386.4614496532,97393.52027664127,320249.328663859
8.0,77130878.29999998,162442.61271302,97675.13053304583,322611.6946612693
8.0,77130878.34999998,159996.93070804054,98618.76069628117,324263.95803026867
8.0,77130878.39999998,162428.30726953474,97604.59874125992,320138.23184663267
8.0,77130878.44999997,160666.20880610825,98341.05000937951,325208.9442801661
8.0,77130878.49999997,160573.66868922208,98077.28771825982,319461.66542597953
8.0,77130878.54999997,161934.91306960257,97604.23840041878,324065.3057060867
8.0,77130878.59999996,159063.9341581231,98696.27187669222,321174.5925713739
8.0,77130878.64999996,161310.7578424681,97832.40065566613,322312.3891703171
8.0,77130878.69999996,160906.50043092808,97730.18439263236,323850.39343824243
8.0,77130878.74999996,157997.7742844731,98770.20733330393,319362.3481236886
8.0,77130878.79999995,166004.36807055376,96350.51107014334,326652.749446342
8.0,77130878.84999995,153907.33967620035,100842.21851198899,316501.64014948235
