interval,timestamp,mg1.x,mg1.y,mg1.z
0.0,46757786.0255,18.425,-9.9125,29.7375
0.0,46757786.0755,18.425,-9.9125,29.7375
0.0,46757786.1255,18.3875,-9.99375,29.75625
0.0,46757786.1755,18.3875,-9.99375,29.75625
0.0,46757786.2255,18.4125,-10.21875,29.84375
0.0,46757786.2755,18.4125,-10.21875,29.84375
0.0,46757786.3255,18.1125,-9.9625,29.6625
0.0,46757786.3755,18.1125,-9.9625,29.6625
0.0,46757786.4255,17.99375,-10.14375,29.79375
0.0,46757786.4755,17.99375,-10.14375,29.79375
0.0,46757786.5255,17.83125,-10.14375,29.8875
0.0,46757786.5755,17.83125,-10.14375,29.8875
0.0,46757786.6255,17.60625,-10.3125,29.99375
0.0,46757786.6755,17.60625,-10.3125,29.99375
0.0,46757786.7255,17.26875,-10.05625,29.91875
0.0,46757786.7755,17.26875,-10.05625,29.91875
0.0,46757786.8255,16.98125,-9.9125,30.04375
0.0,46757786.8755,16.98125,-9.9125,30.04375
0.0,46757786.9255,16.8125,-9.9875,30.175
0.0,46757786.9755,16.8125,-9.9875,30.175
1.0,46757787.0255,16.76875,-10.08125,30.325
1.0,46757787.0755,16.7625,-9.8375,30.35
1.0,46757787.1255,16.7625,-9.8375,30.35
1.0,46757787.1755,16.7625,-9.775,30.2875
1.0,46757787.2255,16.7625,-9.775,30.2875
1.0,46757787.2755,16.88125,-9.75,30.2
1.0,46757787.83400001,17.61875,-9.6125,30.075
1.0,46757787.884,17.76875,-9.6,29.96875
1.0,46757787.934,17.76875,-9.6,29.96875
1.0,46757787.984,17.80625,-9.61875,29.91875
2.0,46757788.034,17.80625,-9.61875,29.91875
2.0,46757788.084,17.98125,-9.625,29.9375
2.0,46757788.134,17.98125,-9.625,29.9375
2.0,46757788.184,18.0375,-9.75625,29.975
2.0,46757788.7849,18.14375,-10.00625,29.8375
2.0,46757788.8349,18.0,-9.9875,29.83125
2.0,46757788.8849,18.0,-9.9875,29.83125
2.0,46757788.9349,17.80625,-9.85,29.79375
2.0,46757788.9849,17.80625,-9.85,29.79375
3.0,46757789.0349,17.6875,-9.84375,29.85
3.0,46757789.0849,17.6875,-9.84375,29.85
3.0,46757789.1349,17.55,-9.8375,29.925
3.0,46757789.1849,17.55,-9.8375,29.925
3.0,46757789.2349,17.3625,-9.89375,29.94375
3.0,46757789.2849,17.3625,-9.89375,29.94375
3.0,46757789.3349,17.33125,-10.0625,30.025
3.0,46757789.3849,17.33125,-10.0625,30.025
3.0,46757789.4349,17.34375,-10.075,30.11875
3.0,46757789.4849,17.34375,-10.075,30.11875
3.0,46757789.5349,17.3375,-9.96875,30.01875
3.0,46757789.5849,17.41875,-9.89375,30.075
3.0,46757789.6349,17.41875,-9.89375,30.075
3.0,46757789.6849,17.46875,-9.8125,29.93125
3.0,46757789.7349,17.46875,-9.8125,29.93125
3.0,46757789.7849,17.65,-9.775,29.89375
3.0,46757789.8349,17.65,-9.775,29.89375
3.0,46757789.8849,17.71875,-9.80625,29.95
3.0,46757789.9349,17.71875,-9.80625,29.95
3.0,46757789.9849,17.84375,-9.75,29.96875
4.0,46757790.0349,17.84375,-9.75,29.96875
4.0,46757790.0849,18.01875,-9.925,30.0125
4.0,46757790.1349,18.01875,-9.925,30.0125
4.0,46757790.1849,17.95,-9.6375,29.88125
4.0,46757790.2349,17.95,-9.6375,29.88125
4.0,46757790.2849,18.0875,-9.69375,29.925
4.0,46757790.3349,18.0875,-9.69375,29.925
4.0,46757790.3849,18.13125,-9.56875,29.875
4.0,46757790.4349,18.13125,-9.56875,29.875
4.0,46757790.4849,18.16875,-9.5875,29.96875
4.0,46757790.5349,18.16875,-9.5875,29.96875
4.0,46757790.5849,18.2625,-9.6875,29.975
4.0,46757790.6349,18.2625,-9.6875,29.975
4.0,46757790.6849,18.25625,-9.5625,29.90625
4.0,46757790.7349,18.25625,-9.5625,29.90625
4.0,46757790.7849,18.18125,-9.5,29.85625
4.0,46757790.8349,18.13125,-9.56875,29.90625
4.0,46757790.8849,18.13125,-9.56875,29.90625
4.0,46757790.9349,18.14375,-9.56875,29.875
4.0,46757790.9849,18.14375,-9.56875,29.875
5.0,46757791.0349,18.04375,-9.55,29.91875
5.0,46757791.0849,18.04375,-9.55,29.91875
5.0,46757791.1349,18.075,-9.7375,30.1
5.0,46757791.1849,18.075,-9.7375,30.1
5.0,46757791.2349,17.93125,-9.50625,30.0125
5.0,46757791.2849,17.93125,-9.50625,30.0125
5.0,46757791.3349,17.85,-9.46875,30.025
5.0,46757791.3849,17.85,-9.46875,30.025
5.0,46757791.4349,17.84375,-9.54375,30.0625
5.0,46757791.4849,17.84375,-9.54375,30.0625
5.0,46757791.5349,17.73125,-9.4625,29.96875
5.0,46757791.5849,17.73125,-9.4625,29.96875
5.0,46757791.6349,17.75,-9.4125,30.0375
5.0,46757791.6849,17.75,-9.4125,30.0375
5.0,46757791.7349,17.8,-9.48125,30.15
5.0,46757791.7849,17.8,-9.48125,30.15
5.0,46757791.8349,17.69375,-9.21875,30.01875
5.0,46757791.8849,17.69375,-9.21875,30.01875
5.0,46757791.9349,17.775,-9.28125,30.1
5.0,46757791.9849,17.775,-9.28125,30.1
6.0,46757792.0349,17.8125,-9.19375,30.11875
6.0,46757792.0849,17.88125,-9.15625,30.09375
6.0,46757792.1349,17.88125,-9.15625,30.09375
6.0,46757792.1849,17.9625,-9.18125,30.10625
6.0,46757792.2349,17.9625,-9.18125,30.10625
6.0,46757792.2849,18.1125,-9.3375,30.13125
6.0,46757792.3349,18.1125,-9.3375,30.13125
6.0,46757792.3849,18.1125,-9.1875,30.15
6.0,46757792.4349,18.1125,-9.1875,30.15
6.0,46757792.4849,18.1625,-9.18125,30.05625
6.0,46757792.5349,18.1625,-9.18125,30.05625
6.0,46757792.5849,18.2625,-9.19375,30.0125
6.0,46757792.6349,18.2625,-9.19375,30.0125
6.0,46757792.6849,18.33125,-9.2625,30.0
6.0,46757792.7349,18.33125,-9.2625,30.0
6.0,46757792.7849,18.525,-9.4875,29.975
6.0,46757792.8349,18.525,-9.4875,29.975
6.0,46757792.8849,18.55,-9.50625,29.975
6.0,46757792.9349,18.55,-9.50625,29.975
6.0,46757792.9849,18.51875,-9.29375,29.9375
7.0,46757793.0349,18.51875,-9.29375,29.9375
7.0,46757793.0849,18.4125,-9.3,29.86875
7.0,46757793.1349,18.4125,-9.3,29.86875
7.0,46757793.1849,18.49375,-9.54375,30.09375
7.0,46757793.2349,18.49375,-9.54375,30.09375
7.0,46757793.2849,18.15625,-9.19375,29.925
7.0,46757793.3349,18.1125,-9.275,30.06875
7.0,46757793.3849,18.1125,-9.275,30.06875
7.0,46757793.4349,18.09375,-9.34375,30.0625
7.0,46757793.4849,18.09375,-9.34375,30.0625
7.0,46757793.5349,18.0125,-9.375,30.1
7.0,46757793.5849,18.0125,-9.375,30.1
7.0,46757793.6349,17.89375,-9.3,30.03125
7.0,46757793.6849,17.89375,-9.3,30.03125
7.0,46757793.7349,17.8125,-9.15,30.04375
7.0,46757793.7849,17.8125,-9.15,30.04375
7.0,46757793.8349,17.8375,-9.225,30.0875
7.0,46757793.8849,17.8375,-9.225,30.0875
7.0,46757793.9349,17.76875,-9.2625,30.125
7.0,46757793.9849,17.76875,-9.2625,30.125
8.0,46757794.0349,18.0,-9.4375,30.24375
8.0,46757794.0849,18.0,-9.4375,30.24375
8.0,46757794.1349,18.01875,-9.34375,30.14375
8.0,46757794.1849,18.01875,-9.34375,30.14375
8.0,46757794.2349,18.26875,-9.64375,30.1375
8.0,46757794.2849,18.26875,-9.64375,30.1375
8.0,46757794.3349,18.28125,-9.46875,29.875
8.0,46757794.3849,18.28125,-9.46875,29.875
8.0,46757794.4349,18.425,-9.5625,29.9125
8.0,46757794.4849,18.425,-9.5625,29.9125
8.0,46757794.5349,18.45625,-9.55625,29.90625
8.0,46757794.5849,18.55,-9.775,29.975
8.0,46757794.6349,18.55,-9.775,29.975
8.0,46757794.6849,18.49375,-9.68125,29.84375
8.0,46757794.7349,18.49375,-9.68125,29.84375
8.0,46757794.7849,18.34375,-9.4625,29.71875
8.0,46757794.8349,18.34375,-9.4625,29.71875
8.0,46757794.8849,18.3,-9.575,29.80625
8.0,46757794.9349,18.3,-9.575,29.80625
8.0,46757794.9849,18.225,-9.60625,29.8625
9.0,46757795.0349,18.225,-9.60625,29.8625
9.0,46757795.0849,18.075,-9.6625,29.83125
9.0,46757795.1349,18.075,-9.6625,29.83125
9.0,46757795.1849,18.14375,-9.775,29.96875
9.0,46757795.2349,18.14375,-9.775,29.96875
9.0,46757795.2849,18.075,-9.54375,29.9
9.0,46757795.3349,18.075,-9.54375,29.9
9.0,46757795.3849,18.1,-9.56875,29.80625
9.0,46757795.4349,18.1,-9.56875,29.80625
9.0,46757795.4849,18.05,-9.51875,29.94375
9.0,46757795.5349,18.05,-9.51875,29.94375
9.0,46757795.5849,18.05625,-9.41875,29.90625
9.0,46757795.6349,18.05625,-9.41875,29.90625
9.0,46757795.6849,18.15,-9.3125,29.9125
9.0,46757795.7349,18.15,-9.3125,29.9125
9.0,46757795.7849,18.1125,-9.28125,29.81875
9.0,46757795.8349,18.31875,-9.425,29.95
9.0,46757795.8849,18.31875,-9.425,29.95
9.0,46757795.9349,18.3375,-9.39375,29.9
9.0,46757795.9849,18.3375,-9.39375,29.9
10.0,46757796.0349,18.49375,-9.3375,29.84375
10.0,46757796.0849,18.49375,-9.3375,29.84375
10.0,46757796.1349,18.56875,-9.2875,29.83125
10.0,46757796.1849,18.56875,-9.2875,29.83125
10.0,46757796.2349,18.575,-9.38125,29.88125
10.0,46757796.2849,18.575,-9.38125,29.88125
10.0,46757796.3349,18.60625,-9.2625,29.8
10.0,46757796.3849,18.60625,-9.2625,29.8
10.0,46757796.4349,18.625,-9.25625,29.88125
10.0,46757796.4849,18.625,-9.25625,29.88125
10.0,46757796.5349,18.53125,-9.275,29.875
10.0,46757796.5849,18.53125,-9.275,29.875
10.0,46757796.6349,18.54375,-9.4375,29.95
10.0,46757796.6849,18.54375,-9.4375,29.95
10.0,46757796.7349,18.46875,-9.3625,29.78125
10.0,46757796.7849,18.46875,-9.3625,29.78125
10.0,46757796.8349,18.3875,-9.29375,29.81875
10.0,46757796.8849,18.3875,-9.29375,29.81875
10.0,46757796.9349,18.4375,-9.38125,29.85
10.0,46757796.9849,18.4375,-9.38125,29.85
11.0,46757797.0349,18.45625,-9.48125,29.875
11.0,46757797.0849,18.475,-9.5,29.7875
11.0,46757797.1349,18.475,-9.5,29.7875
11.0,46757797.1849,18.48125,-9.53125,29.79375
11.0,46757797.2349,18.48125,-9.53125,29.79375
11.0,46757797.793400005,18.29375,-9.3125,29.76875
11.0,46757797.8434,18.29375,-9.3125,29.76875
11.0,46757797.8934,18.2875,-9.28125,29.725
11.0,46757797.9434,18.2875,-9.28125,29.725
11.0,46757797.9934,18.38125,-9.16875,29.76875
12.0,46757798.0434,18.38125,-9.16875,29.76875
12.0,46757798.0934,18.44375,-9.1125,29.7375
12.0,46757798.1434,18.44375,-9.1125,29.7375
12.0,46757798.1934,18.54375,-9.20625,29.8125
12.0,46757798.2434,18.54375,-9.20625,29.8125
12.0,46757798.2934,18.64375,-9.31875,29.9375
12.0,46757798.3434,18.625,-9.1375,29.775
12.0,46757798.3934,18.625,-9.1375,29.775
12.0,46757798.4434,18.6,-9.1375,29.825
12.0,46757798.4934,18.6,-9.1375,29.825
12.0,46757798.5434,18.65625,-9.08125,29.75
12.0,46757798.5934,18.65625,-9.08125,29.75
12.0,46757798.6434,18.64375,-9.1875,29.8125
12.0,46757798.6934,18.64375,-9.1875,29.8125
12.0,46757798.7434,18.6875,-9.275,29.9
12.0,46757798.7934,18.6875,-9.275,29.9
12.0,46757798.8434,18.61875,-9.14375,29.8125
12.0,46757798.8934,18.61875,-9.14375,29.8125
12.0,46757798.9434,18.55625,-9.23125,29.83125
12.0,46757798.9934,18.55625,-9.23125,29.83125
13.0,46757799.0434,18.5375,-9.21875,29.8375
13.0,46757799.0934,18.5375,-9.21875,29.8375
13.0,46757799.1434,18.59375,-9.43125,29.98125
13.0,46757799.1934,18.59375,-9.43125,29.98125
13.0,46757799.2434,18.5375,-9.16875,29.775
13.0,46757799.2934,18.5375,-9.16875,29.775
